mu,probability
0.0,0
0.2,0.020037079593440792
0.25,0.019025883425778895
0.3,0.02146641646537526
0.35,0.02539393924373117
0.4,0.03349291954295293
0.45,0.04555470133886168
0.5,0.06278803484776675
0.55,0.08783695471575075
0.6,0.12199641617452953
0.65,0.16721151996567904
0.7,0.2257018235544785
0.75,0.29986409392132296
0.8,0.39230990823506495
0.85,0.5058225799072701
0.9,0.6432930685682872
0.95,0.8071362241970576
1.0,1.0
